Date,# Unique Clients Buying Servs.,# Serv. Visits,Add On,Total Service (Including Add On),"Avg. Serv. 
 Per 
Client","Avg. Serv. 
Per 
Visit",Retail Items Sold,Retail Only Tix,Total Retail (Not Incl. Ageless Serums),Ageless Serums,Total Retail (Incl. Ageless Serums),"Avg. Retail Per 
 Serv. Visit","Avg. Unit 
 Per 
 Serv. Visit",Total Sales,"Product 
Bundle Sales",Total Tix,Emps with Serv. Sales,Serv. Client to Emp. Ratio,School
2023-01-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boise
2023-01-02T00:00:00Z,57,57,0,1073.8,18.84,18.84,14,4,232.7,0,232.7,4.08,0.25,1306.5,0,55,37,1.54,Boise
2023-01-03T00:00:00Z,71,71,0,1376.4,19.39,19.39,11,2,177.75,0,177.75,2.5,0.15,1554.15,0,71,39,1.82,Boise
2023-01-04T00:00:00Z,67,67,0,810.9,12.1,12.1,8,2,206.45,0,206.45,3.08,0.12,1017.35,0,66,37,1.81,Boise
2023-01-05T00:00:00Z,50,50,0,1110.8,22.22,22.22,9,4,146.8,0,146.8,2.94,0.18,1257.6,0,54,32,1.56,Boise
2023-01-06T00:00:00Z,50,50,0,1074.4,21.49,21.49,9,3,185.95,0,185.95,3.72,0.18,1260.35,0,50,32,1.56,Boise
2023-01-07T00:00:00Z,51,51,0,1028.2,20.16,20.16,14,6,190.84,0,190.84,3.74,0.27,1219.04,0,53,31,1.65,Boise
2023-01-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boise
2023-01-09T00:00:00Z,53,54,0,974.2,18.38,18.04,4,4,57.9,0,57.9,1.07,0.07,1032.1,0,57,39,1.36,Boise
2023-01-10T00:00:00Z,67,67,0,827.8,12.36,12.36,3,2,50.95,0,50.95,0.76,0.04,878.75,0,66,39,1.72,Boise
2023-01-11T00:00:00Z,68,68,0,617.2,9.08,9.08,8,5,157,0,157,2.31,0.12,774.2,0,71,38,1.79,Boise
2023-01-12T00:00:00Z,50,51,0,822,16.44,16.12,11,3,255.65,0,255.65,5.01,0.22,1077.65,0,54,28,1.79,Boise
2023-01-13T00:00:00Z,50,51,0,1081,21.62,21.2,17,8,237,0,237,4.65,0.33,1318,0,56,28,1.79,Boise
2023-01-14T00:00:00Z,51,52,0,1229.8,24.11,23.65,10,3,243.95,0,243.95,4.69,0.19,1473.75,0,53,30,1.7,Boise
2023-01-15T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boise
2023-01-16T00:00:00Z,65,65,0,961.6,14.79,14.79,6,3,133.1,0,133.1,2.05,0.09,1094.7,0,66,43,1.51,Boise
2023-01-17T00:00:00Z,69,69,0,938.8,13.61,13.61,10,2,96.53,0,96.53,1.4,0.14,1035.33,0,67,41,1.68,Boise
2023-01-18T00:00:00Z,67,67,0,982.4,14.66,14.66,4,1,74.35,0,74.35,1.11,0.06,1056.75,0,67,43,1.56,Boise
