Acct,Kiss ID,Attend stat,Program,WAvg,PAvg,Balance,Tot cost,Aid exp,Aid Rcv,Aid Due,Tot hrs,Sched hrs,Remain hrs,Wk hrs,Start,Rev grad,LDA,Drop,Leave start,Leave end,Reenrolled,Dep stat,Schedule,bus_name,Market Size
1001,5514,Graduated,Cosmetology (old),98.25,97.4,$0.00,"$14,300.00","$13,800.00","$13,800.00",$0.00,2000,2067,0,40,7/24/2007,9/19/2008,9/19/2008,NA,NA,9/19/2008,NA,Independent,NA,Boise,Medium
1002,5514,Graduated,Cosmetology (old),99,93.8,$0.00,"$14,950.00","$14,950.00","$14,950.00",$0.00,2002,2022,-2,40,6/17/2008,7/1/2009,7/1/2009,NA,NA,7/1/2009,NA,Independent,Inactive,Boise,Medium
1003,5514,Withdrawn,Cosmetology (old),87.88,97.5,"$2,545.50","$10,645.50","$7,500.00","$7,500.00",$0.00,787.75,837.75,1212.25,20,9/24/2007,12/9/2009,10/2/2008,10/13/2008,6/9/2008,10/13/2008,NA,Dependent,NA,Boise,Medium
1004,5514,Withdrawn,Cosmetology (old),83.21,96.5,$0.00,"$14,422.50","$3,685.00","$3,685.00",$0.00,1683.25,1771.25,316.75,40,4/17/2007,2/28/2009,6/30/2008,6/30/2008,7/9/2008,6/30/2008,NA,Dependent,Inactive,Boise,Medium
1005,5514,Graduated,Cosmetology (old),82.77,92.25,$0.00,"$14,300.00","$10,200.00","$10,200.00",$0.00,2000.75,2109.75,-0.75,40,10/30/2007,12/27/2008,12/19/2008,NA,NA,12/27/2008,NA,Dependent,NA,Boise,Medium
1006,5514,Withdrawn,Cosmetology (old),90,99,$728.90,"$11,100.50","$10,236.60","$13,900.00",$0.00,611.5,980,1388.5,40,6/17/2008,8/20/2009,12/2/2008,12/17/2008,NA,12/17/2008,NA,Independent,NA,Boise,Medium
1007,5514,Withdrawn,Cosmetology (old),97,100,$0.00,"$12,070.00","$16,284.00","$16,284.00",$0.00,1223.5,1613.5,776.5,40,1/8/2008,6/12/2009,1/21/2009,1/21/2009,11/12/2008,1/21/2009,NA,Independent,NA,Boise,Medium
1008,5514,Withdrawn,Cosmetology (old),0,0,"$3,845.80","$4,518.00","$2,155.00","$2,155.00","$1,637.80",91.75,280,1908.25,32,6/17/2008,10/15/2009,7/11/2008,7/11/2008,NA,7/11/2008,NA,Independent,NA,Boise,Medium
1009,5514,Withdrawn,Cosmetology (old),65.12,96,$0.00,"$7,516.75","$13,100.00","$11,350.00","$6,550.00",316.75,348.75,1683.25,40,9/25/2007,6/9/2009,6/30/2008,6/30/2008,2/16/2008,6/30/2008,NA,Dependent,NA,Boise,Medium
1010,5514,Graduated,Cosmetology (old),95.44,94.5,$0.00,"$14,300.00","$17,638.00","$17,638.00",$0.00,1840.75,1974.25,-0.75,40,10/30/2007,1/24/2009,1/21/2009,NA,4/4/2008,1/24/2009,NA,Independent,NA,Boise,Medium
1011,5514,Withdrawn,Cosmetology (old),0,0,"$3,968.55","$4,518.00","$2,155.00","$2,155.00","$1,745.55",85.75,127,1914.25,32,6/17/2008,11/20/2009,7/8/2008,9/23/2008,7/9/2008,9/23/2008,NA,Independent,NA,Boise,Medium
1012,5514,Graduated,Cosmetology (old),98.58,94.4,$0.00,"$13,675.00",$0.00,$0.00,$0.00,2000.25,2037.25,-0.25,40,9/25/2007,1/27/2009,1/27/2009,NA,5/7/2008,1/27/2009,NA,Dependent,NA,Boise,Medium
1013,5514,Withdrawn,Cosmetology (old),81,93.67,"$7,752.50","$15,050.00","$3,500.00","$3,500.00",$0.00,1126,1727.5,874,35,4/15/2008,2/20/2010,8/25/2009,8/25/2009,10/16/2008,8/25/2009,NA,Dependent,NA,Boise,Medium
1014,5514,Graduated,Cosmetology (old),84,93.8,$0.00,"$15,221.00","$25,041.00","$25,041.00",$0.00,2000.25,2134.75,-0.25,40,7/24/2007,4/29/2009,4/29/2009,NA,9/17/2008,4/29/2009,NA,Independent,Inactive,Boise,Medium
