kiss_id,bus_name,Market Size
1018,Costa Mesa,Large
1028,Tampa,Large
1030,Sterling Heights,Large
1116,Parisian,Large
1516,Charlotte,Large
1600,Lombard,Large
1866,Houston,Large
2303,Annapolis,Large
3110,Clear Lake/Webster,Large
4002,Tinley Park,Large
4050,Denver,Large
5604,Farmington Hills,Large
5614,NYC,Large
5621,Sherman Oaks,Large
5670,Cincinnati,Large
5679,Dallas,Large
5703,Phoenix,Large
5704,East Bay,Large
5724,Esani,Large
5744,Cleveland,Large
5748,Pasadena,Large
5751,Atlanta,Large
5768,Chicago,Large
5829,Sacramento,Large
7682,San Jose,Large
5840,Miami,Large
5854,Las Vegas,Large
5863,Temecula,Large
3090,Arlington,Large
2,Hair Expressions Academy,Large
3,Jessup,Large
4,MTI College,Large
1027,San Diego,Large
5865,San Francisco,Large
5663,St. Louis,Large
1024,Orlando,Medium
1029,Tysons Corner,Medium
1031,Robinson,Medium
1043,San Antonio,Medium
1065,Baton Rouge,Medium
1085,Columbus,Medium
1215,Greenville,Medium
1270,Madison,Medium
1555,Toledo,Medium
1680,Nampa,Medium
1700,Jacksonville,Medium
2105,Grand Rapids,Medium
2263,Ogden,Medium
2350,Nashville,Medium
3030,"Oklahoma, Norman",Medium
3321,Metairie,Medium
3800,Fort Lauderdale,Medium
4800,Provo,Medium
5439,Merrillville,Medium
5514,Boise,Medium
5539,Salt Lake,Medium
5594,Delaware,Medium
5611,Murfreesboro,Medium
5628,Monroeville,Medium
5672,Milwaukee,Medium
5673,Louisville,Medium
5677,Raleigh,Medium
5695,Austin,Medium
5701,Colorado Springs,Medium
5702,Memphis,Medium
5717,Little Rock,Medium
5719,Honolulu,Medium
5770,Indianapolis,Medium
5771,Overland Park,Medium
5779,Wichita,Medium
5780,Columbia,Medium
5795,Lexington,Medium
5804,Gastonia,Medium
5823,Birmingham,Medium
5828,Fresno,Medium
5891,North Haven,Medium
5911,Schenectady,Medium
5913,Charleston,Medium
5961,Knoxville,Medium
6007,Tulsa,Medium
7183,Portsmouth,Medium
1,Albuquerque,Medium
1094,Fort Myers,Medium
1023,Rhode Island,Medium
5,Rudy & Kelly Academy,Medium
1444,Woodbridge,Small
1601,North Tahoe,Small
1611,Missouri Columbia,Small
5180,Bradley,Small
5511,Great Lakes,Small
5629,Modesto,Small
5632,Frederick,Small
5657,Normal,Small
5734,Rexburg,Small
5777,Reno,Small
5778,Logan,Small
5787,Springfield,Small
5788,Fayetteville,Small
5806,Huntsville,Small
5810,Spokane,Small
5819,Arkansas,Small
7253,Roanoke,Small
7394,Richland,Small
7539,St George,Small
7600,Rapid City,Small
7631,Twin Falls,Small
5502,Coeur D'Alene,Medium
5512,Sarasota,Small
